# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
   4.9408648890e+00,   9.8639799979e-01,   1.4045625652e-02,   2.9330355110e+00,   9.2860000000e-01
   4.9551019603e+00,   5.7307487579e-01,   1.0705838368e-02,   2.7998545960e+00,   9.3080000000e-01
   4.9261282854e+00,   6.8472700964e-01,   1.1702367364e-02,   2.8983287750e+00,   9.3560000000e-01
   4.9130715313e+00,   4.1648995450e-01,   9.1267733016e-03,   2.5717335980e+00,   9.3980000000e-01
   4.9748060713e+00,   1.0369643331e+00,   1.4401141157e-02,   2.5635203060e+00,   9.3240000000e-01
   4.8544933325e+00,   3.5826350424e-01,   8.4647918373e-03,   2.6574531570e+00,   9.2680000000e-01
   5.0347268405e+00,   1.4934274171e+00,   1.7282519591e-02,   2.6413170360e+00,   9.3440000000e-01
   4.9286604234e+00,   4.2206939917e-01,   9.1877026417e-03,   2.6303110370e+00,   9.2940000000e-01
   4.9569560990e+00,   9.0292854874e-01,   1.3438218251e-02,   2.8765464050e+00,   9.2920000000e-01
   4.8916438841e+00,   3.9255898093e-01,   8.8606882456e-03,   2.6003492140e+00,   9.2960000000e-01
   4.9236066476e+00,   5.1057552586e-01,   1.0105201887e-02,   2.5909392380e+00,   9.2960000000e-01
   4.8967294054e+00,   3.9530337974e-01,   8.8916070509e-03,   2.6282476100e+00,   9.2880000000e-01
   4.8974134732e+00,   3.9095867657e-01,   8.8426090785e-03,   3.0494469220e+00,   9.3360000000e-01
   4.9658169591e+00,   3.9335714010e-01,   8.8696915404e-03,   3.0328068810e+00,   9.3220000000e-01
   4.8965543187e+00,   4.3430261115e-01,   9.3198992607e-03,   2.8642300870e+00,   9.3460000000e-01
   4.9062239413e+00,   5.4499780782e-01,   1.0440285512e-02,   3.6767938720e+00,   9.3140000000e-01
   4.9865977652e+00,   2.8908664063e+00,   2.4045234065e-02,   4.0559219720e+00,   9.2980000000e-01
